MakerSalesID,Maker,RawCategory,Year,Sales,CategoryGroup
280,AAKK AUTO PVT LTD,3W,2024,16,3W
281,AARGEE ELECTRIC,3W,2015,0,3W
282,AARGEE ELECTRIC,3W,2016,0,3W
283,AARGEE ELECTRIC,3W,2017,1,3W
284,AARGEE ELECTRIC,3W,2018,0,3W
285,AARGEE ELECTRIC,3W,2019,0,3W
286,AARGEE ELECTRIC,3W,2020,0,3W
287,AARGEE ELECTRIC,3W,2021,10,3W
288,AARGEE ELECTRIC,3W,2022,13,3W
289,AARGEE ELECTRIC,3W,2023,18,3W
290,AARGEE ELECTRIC,3W,2024,4,3W
291,AASHI INDIA AUTOMOBILES PVT LTD,3W,2015,0,3W
292,AASHI INDIA AUTOMOBILES PVT LTD,3W,2016,0,3W
293,AASHI INDIA AUTOMOBILES PVT LTD,3W,2017,0,3W
294,AASHI INDIA AUTOMOBILES PVT LTD,3W,2018,0,3W
295,AASHI INDIA AUTOMOBILES PVT LTD,3W,2019,1,3W
296,AASHI INDIA AUTOMOBILES PVT LTD,3W,2020,0,3W
297,AASHI INDIA AUTOMOBILES PVT LTD,3W,2021,0,3W
298,AASHI INDIA AUTOMOBILES PVT LTD,3W,2022,0,3W
299,AASHI INDIA AUTOMOBILES PVT LTD,3W,2023,0,3W
300,AASHI INDIA AUTOMOBILES PVT LTD,3W,2024,0,3W
301,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2015,0,3W
302,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2016,0,3W
303,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2017,1,3W
304,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2018,0,3W
305,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2019,0,3W
306,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2020,0,3W
307,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2021,0,3W
308,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2022,0,3W
309,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2023,0,3W
310,ABHAVIS TECHNOLOGY (I) PVT LTD,3W,2024,0,3W
311,ABIRAMI ENGINEERING WORKS,LMV,2015,0,4W
312,ABIRAMI ENGINEERING WORKS,LMV,2016,0,4W
313,ABIRAMI ENGINEERING WORKS,LMV,2017,1,4W
314,ABIRAMI ENGINEERING WORKS,LMV,2018,0,4W
315,ABIRAMI ENGINEERING WORKS,LMV,2019,0,4W
316,ABIRAMI ENGINEERING WORKS,LMV,2020,0,4W
317,ABIRAMI ENGINEERING WORKS,LMV,2021,0,4W
318,ABIRAMI ENGINEERING WORKS,LMV,2022,0,4W
319,ABIRAMI ENGINEERING WORKS,LMV,2023,0,4W
320,ABIRAMI ENGINEERING WORKS,LMV,2024,0,4W
321,ABZO MOTORS PVT LTD,2W,2015,0,2W
322,ABZO MOTORS PVT LTD,2W,2016,0,2W
323,ABZO MOTORS PVT LTD,2W,2017,0,2W
324,ABZO MOTORS PVT LTD,2W,2018,0,2W
325,ABZO MOTORS PVT LTD,2W,2019,0,2W
326,ABZO MOTORS PVT LTD,2W,2020,0,2W
327,ABZO MOTORS PVT LTD,2W,2021,0,2W
328,ABZO MOTORS PVT LTD,2W,2022,0,2W
329,ABZO MOTORS PVT LTD,2W,2023,12,2W
330,ABZO MOTORS PVT LTD,2W,2024,48,2W
331,ACCRETION POWER AUTOS,3W,2015,0,3W
332,ACCRETION POWER AUTOS,3W,2016,1,3W
333,ACCRETION POWER AUTOS,3W,2017,21,3W
334,ACCRETION POWER AUTOS,3W,2018,240,3W
335,ACCRETION POWER AUTOS,3W,2019,315,3W
336,ACCRETION POWER AUTOS,3W,2020,111,3W
337,ACCRETION POWER AUTOS,3W,2021,207,3W
338,ACCRETION POWER AUTOS,3W,2022,608,3W
339,ACCRETION POWER AUTOS,3W,2023,598,3W
340,ACCRETION POWER AUTOS,3W,2024,329,3W
341,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2015,0,2W
342,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2016,1,2W
343,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2017,0,2W
344,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2018,0,2W
345,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2019,0,2W
346,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2020,0,2W
347,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2021,0,2W
348,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2022,0,2W
349,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2023,0,2W
350,ACTION CONSTRUCTION EQUIPMENT LTD.,2W,2024,0,2W
351,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2015,0,3W
352,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2016,0,3W
353,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2017,4,3W
354,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2018,0,3W
355,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2019,0,3W
356,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2020,0,3W
357,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2021,0,3W
358,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2022,0,3W
359,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2023,0,3W
360,ACTION CONSTRUCTION EQUIPMENT LTD.,3W,2024,0,3W
361,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2015,6,4W
362,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2016,1,4W
363,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2017,0,4W
364,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2018,0,4W
365,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2019,0,4W
366,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2020,0,4W
367,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2021,0,4W
368,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2022,0,4W
369,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2023,0,4W
370,ACTION CONSTRUCTION EQUIPMENT LTD.,LMV,2024,0,4W
371,ADAPT MOTORS PVT LTD,3W,2015,0,3W
372,ADAPT MOTORS PVT LTD,3W,2016,0,3W
373,ADAPT MOTORS PVT LTD,3W,2017,0,3W
374,ADAPT MOTORS PVT LTD,3W,2018,0,3W
375,ADAPT MOTORS PVT LTD,3W,2019,6,3W
376,ADAPT MOTORS PVT LTD,3W,2020,2,3W
377,ADAPT MOTORS PVT LTD,3W,2021,1,3W
378,ADAPT MOTORS PVT LTD,3W,2022,3,3W
379,ADAPT MOTORS PVT LTD,3W,2023,4,3W
380,ADAPT MOTORS PVT LTD,3W,2024,1,3W
381,ADAPT MOTORS PVT LTD,LMV,2015,0,4W
382,ADAPT MOTORS PVT LTD,LMV,2016,0,4W
383,ADAPT MOTORS PVT LTD,LMV,2017,0,4W
384,ADAPT MOTORS PVT LTD,LMV,2018,0,4W
385,ADAPT MOTORS PVT LTD,LMV,2019,0,4W
386,ADAPT MOTORS PVT LTD,LMV,2020,0,4W
387,ADAPT MOTORS PVT LTD,LMV,2021,0,4W
388,ADAPT MOTORS PVT LTD,LMV,2022,0,4W
389,ADAPT MOTORS PVT LTD,LMV,2023,0,4W
390,ADAPT MOTORS PVT LTD,LMV,2024,1,4W
391,ADIDEV TECHNOA PVT LTD,3W,2015,0,3W
392,ADIDEV TECHNOA PVT LTD,3W,2016,0,3W
393,ADIDEV TECHNOA PVT LTD,3W,2017,0,3W
394,ADIDEV TECHNOA PVT LTD,3W,2018,0,3W
395,ADIDEV TECHNOA PVT LTD,3W,2019,8,3W
396,ADIDEV TECHNOA PVT LTD,3W,2020,14,3W
397,ADIDEV TECHNOA PVT LTD,3W,2021,34,3W
398,ADIDEV TECHNOA PVT LTD,3W,2022,168,3W
399,ADIDEV TECHNOA PVT LTD,3W,2023,689,3W
400,ADIDEV TECHNOA PVT LTD,3W,2024,927,3W
401,ADITYA AGRO INDUSTRIES,3W,2015,0,3W
402,ADITYA AGRO INDUSTRIES,3W,2016,2,3W
403,ADITYA AGRO INDUSTRIES,3W,2017,17,3W
404,ADITYA AGRO INDUSTRIES,3W,2018,3,3W
405,ADITYA AGRO INDUSTRIES,3W,2019,0,3W
406,ADITYA AGRO INDUSTRIES,3W,2020,0,3W
407,ADITYA AGRO INDUSTRIES,3W,2021,1,3W
408,ADITYA AGRO INDUSTRIES,3W,2022,0,3W
409,ADITYA AGRO INDUSTRIES,3W,2023,0,3W
410,ADITYA AGRO INDUSTRIES,3W,2024,0,3W
411,ADITYA ENTERPRISES,3W,2015,0,3W
412,ADITYA ENTERPRISES,3W,2016,0,3W
413,ADITYA ENTERPRISES,3W,2017,0,3W
414,ADITYA ENTERPRISES,3W,2018,0,3W
415,ADITYA ENTERPRISES,3W,2019,1,3W
416,ADITYA ENTERPRISES,3W,2020,0,3W
417,ADITYA ENTERPRISES,3W,2021,5,3W
418,ADITYA ENTERPRISES,3W,2022,3,3W
419,ADITYA ENTERPRISES,3W,2023,1,3W
420,ADITYA ENTERPRISES,3W,2024,0,3W
421,ADITYA SAI INDUSTRIES,3W,2015,0,3W
422,ADITYA SAI INDUSTRIES,3W,2016,39,3W
423,ADITYA SAI INDUSTRIES,3W,2017,187,3W
424,ADITYA SAI INDUSTRIES,3W,2018,176,3W
425,ADITYA SAI INDUSTRIES,3W,2019,296,3W
426,ADITYA SAI INDUSTRIES,3W,2020,75,3W
427,ADITYA SAI INDUSTRIES,3W,2021,53,3W
428,ADITYA SAI INDUSTRIES,3W,2022,129,3W
429,ADITYA SAI INDUSTRIES,3W,2023,179,3W
430,ADITYA SAI INDUSTRIES,3W,2024,152,3W
431,ADITYA SAI INDUSTRIES,LMV,2015,0,4W
432,ADITYA SAI INDUSTRIES,LMV,2016,0,4W
433,ADITYA SAI INDUSTRIES,LMV,2017,2,4W
434,ADITYA SAI INDUSTRIES,LMV,2018,2,4W
435,ADITYA SAI INDUSTRIES,LMV,2019,0,4W
436,ADITYA SAI INDUSTRIES,LMV,2020,0,4W
437,ADITYA SAI INDUSTRIES,LMV,2021,0,4W
438,ADITYA SAI INDUSTRIES,LMV,2022,0,4W
439,ADITYA SAI INDUSTRIES,LMV,2023,0,4W
440,ADITYA SAI INDUSTRIES,LMV,2024,0,4W
441,ADM TECHNOLOGIES PVT. LTD.,3W,2015,0,3W
442,ADM TECHNOLOGIES PVT. LTD.,3W,2016,0,3W
